,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,0,0,0,0,0,638707,730256284180680704,2959505489,negative,other,2016-05-11T04:40:40.000Z,##UK #EU #BREXIT #LEAVE #REMAINERS Apologies:I KNOW cameras= amazing--&gt;BUT CAN'T IMAGINE THIS-UNLESS 'something'=UP https://t.co/FFgq3iGnof,"['#uk', 'eu', 'leave', 'remainers', 'brexit']"
1,1,1,1,1,1,1,1,690068,732144204495912960,2959505489,negative,remain,2016-05-16T09:42:35.000Z,"##UK #EU #IMF #BREXIT #REMAINERS A PREVIEW! as ""FEAR PROJECT"" Takes it to the NEXT LEVEL  https://t.co/QDdzjlsquB","['#uk', 'eu', 'remainers', 'imf', 'brexit']"
2,2,2,2,2,2,2,2,391109,713682210658893824,710801816057937920,negative,leave,2016-03-26T11:01:13.000Z,#Remainers #BBC #Cameron try to suppress #Brexit argument: bias coverage https://t.co/JBLzbK8jtf,"['bbc', 'brexit', 'cameron', 'remainers']"
3,3,3,3,3,3,3,3,1101557,742678788920709120,2189056412,positive,other,2016-06-14T11:23:16.000Z,"#bbcdp like all fiat currencies it goes up &amp; down, #remainers do not want 2 add into the mix the impact of China on global markets, #brexit","['bbcdp', 'remainers', 'brexit']"
4,4,4,4,4,4,4,4,993048,741032448423788544,2979912988,positive,other,2016-06-09T22:21:18.000Z,@MrTomYoull #Remainers sound like battered wives saying 'oh he loves me really' whack whack whack #bbcqt #Brexit,"['bbcqt', 'brexit', 'remainers']"
5,5,5,5,5,5,5,5,631465,729918486617718784,2959505489,negative,remain,2016-05-10T06:18:23.000Z,"##EU #UK #BREXIT #REMAINERS When EU Economy begins2CRACK-Due to RELENTLESS ""DRAGHI EASING""-&gt;WHO WILL HAVE A CURRENCY 2 BAIL OUT EU?  (bingo!","['brexit', '#eu', 'remainers', 'uk']"
6,6,6,6,6,6,6,6,1015867,741374357092638720,65890216,positive,other,2016-06-10T20:59:55.000Z,A % of #Remainers will say they were #Brexiters if #Brexit wins! ;) https://t.co/oRnllBAMAI,"['brexit', 'brexiters', 'remainers']"
7,7,7,7,7,7,7,7,1468793,745671477438054400,2959505489,neutral,other,2016-06-22T17:35:08.000Z,"#BREXIT #REMAINERS 2/2016.Jean-Claude Junker TOLD #CAMERON ""That's IT !NOTHING MORE""▶︎ANYnews'from PM after=BULLSHIT https://t.co/D7xe4cIwrE","['brexit', 'cameron', 'remainers']"
8,8,8,8,8,8,8,8,800866,736090879614554112,26389147,negative,leave,2016-05-27T07:05:16.000Z,"'Dear Britain, don't leave the #EU, we'd miss you'  https://t.co/cYiS55q25y #Brexit  #multiculturalism #Remainers https://t.co/l6B7CWtCZG","['brexit', 'eu', 'multiculturalism', 'remainers']"
9,9,9,9,9,9,9,9,1362542,745149009254199296,2959505489,neutral,leave,2016-06-21T06:59:02.000Z,"#REMAINERS #BREXIT #EU IF UTHINK EU JUST WANTS UK 4DUES VAT,etc=&gt;Wrong: WAIT❗️'till Usee HOW DEPENDANT FOREIGN BIZ's are on UK CONSUMERS","['brexit', 'eu', 'remainers']"
