,t_stance,size,Date
0,leave,2238,2016-01-01
1,other,7003,2016-01-01
2,remain,2438,2016-01-01
3,leave,3022,2016-01-15
4,other,10476,2016-01-15
5,remain,3277,2016-01-15
6,leave,5320,2016-01-29
7,other,18779,2016-01-29
8,remain,6853,2016-01-29
9,leave,17274,2016-02-12
10,other,63788,2016-02-12
11,remain,31510,2016-02-12
12,leave,15106,2016-02-26
13,other,55215,2016-02-26
14,remain,21014,2016-02-26
15,leave,11037,2016-03-11
16,other,38542,2016-03-11
17,remain,13956,2016-03-11
18,leave,9061,2016-03-25
19,other,32414,2016-03-25
20,remain,11855,2016-03-25
21,leave,12210,2016-04-08
22,other,40724,2016-04-08
23,remain,17816,2016-04-08
24,leave,11857,2016-04-22
25,other,40515,2016-04-22
26,remain,13042,2016-04-22
27,leave,19365,2016-05-06
28,other,57167,2016-05-06
29,remain,23771,2016-05-06
30,leave,26107,2016-05-20
31,other,74944,2016-05-20
32,remain,31760,2016-05-20
33,leave,51116,2016-06-03
34,other,165917,2016-06-03
35,remain,71665,2016-06-03
36,leave,280802,2016-06-17
37,other,1063001,2016-06-17
38,remain,516329,2016-06-17
39,leave,62978,2016-07-01
40,other,366104,2016-07-01
41,remain,126139,2016-07-01
42,leave,25634,2016-07-15
43,other,163660,2016-07-15
44,remain,51105,2016-07-15
45,leave,14969,2016-07-29
46,other,85363,2016-07-29
47,remain,27134,2016-07-29
48,leave,13730,2016-08-12
49,other,75410,2016-08-12
50,remain,24794,2016-08-12
51,leave,18400,2016-08-26
52,other,99511,2016-08-26
53,remain,29336,2016-08-26
54,leave,16300,2016-09-09
55,other,84586,2016-09-09
56,remain,26024,2016-09-09
57,leave,20261,2016-09-23
58,other,110437,2016-09-23
59,remain,35463,2016-09-23
60,leave,28445,2016-10-07
61,other,144782,2016-10-07
62,remain,48879,2016-10-07
63,leave,24787,2016-10-21
64,other,131885,2016-10-21
65,remain,43016,2016-10-21
66,leave,36422,2016-11-04
67,other,185423,2016-11-04
68,remain,83266,2016-11-04
69,leave,18001,2016-11-18
70,other,99558,2016-11-18
71,remain,30544,2016-11-18
72,leave,17724,2016-12-02
73,other,98759,2016-12-02
74,remain,29185,2016-12-02
75,leave,10404,2016-12-16
76,other,55797,2016-12-16
77,remain,17154,2016-12-16
78,leave,12737,2016-12-30
79,other,69105,2016-12-30
80,remain,23264,2016-12-30
81,leave,21787,2017-01-13
82,other,138589,2017-01-13
83,remain,39893,2017-01-13
84,leave,16016,2017-01-27
85,other,98749,2017-01-27
86,remain,32386,2017-01-27
87,leave,12901,2017-02-10
88,other,75654,2017-02-10
89,remain,23977,2017-02-10
90,leave,13182,2017-02-24
91,other,75993,2017-02-24
92,remain,25013,2017-02-24
93,leave,17232,2017-03-10
94,other,105142,2017-03-10
95,remain,35381,2017-03-10
96,leave,30625,2017-03-24
97,other,149570,2017-03-24
98,remain,51614,2017-03-24
99,leave,15250,2017-04-07
100,other,72998,2017-04-07
101,remain,28348,2017-04-07
102,leave,16654,2017-04-21
103,other,103579,2017-04-21
104,remain,36970,2017-04-21
105,leave,16385,2017-05-05
106,other,84082,2017-05-05
107,remain,29248,2017-05-05
108,leave,15072,2017-05-19
109,other,79559,2017-05-19
110,remain,31575,2017-05-19
111,leave,24823,2017-06-02
112,other,122820,2017-06-02
113,remain,50124,2017-06-02
114,leave,22503,2017-06-16
115,other,113794,2017-06-16
116,remain,39066,2017-06-16
117,leave,17357,2017-06-30
118,other,80733,2017-06-30
119,remain,31209,2017-06-30
120,leave,16989,2017-07-14
121,other,89202,2017-07-14
122,remain,31885,2017-07-14
123,leave,15610,2017-07-28
124,other,76532,2017-07-28
125,remain,30664,2017-07-28
126,leave,13562,2017-08-11
127,other,63374,2017-08-11
128,remain,24161,2017-08-11
129,leave,12972,2017-08-25
130,other,71988,2017-08-25
131,remain,25133,2017-08-25
132,leave,15099,2017-09-08
133,other,74512,2017-09-08
134,remain,30623,2017-09-08
135,leave,16038,2017-09-22
136,other,81963,2017-09-22
137,remain,34184,2017-09-22
138,leave,19242,2017-10-06
139,other,105216,2017-10-06
140,remain,41579,2017-10-06
141,leave,14215,2017-10-20
142,other,75265,2017-10-20
143,remain,30759,2017-10-20
144,leave,15345,2017-11-03
145,other,76599,2017-11-03
146,remain,29709,2017-11-03
147,leave,18695,2017-11-17
148,other,99699,2017-11-17
149,remain,38509,2017-11-17
150,leave,21028,2017-12-01
151,other,125650,2017-12-01
152,remain,44875,2017-12-01
153,leave,14103,2017-12-15
154,other,65821,2017-12-15
155,remain,29868,2017-12-15
156,leave,12980,2017-12-29
157,other,53303,2017-12-29
158,remain,27282,2017-12-29
159,leave,12402,2018-01-12
160,other,53673,2018-01-12
161,remain,24458,2018-01-12
162,leave,15540,2018-01-26
163,other,75820,2018-01-26
164,remain,31781,2018-01-26
165,leave,17163,2018-02-09
166,other,71318,2018-02-09
167,remain,33550,2018-02-09
168,leave,16237,2018-02-23
169,other,73696,2018-02-23
170,remain,29811,2018-02-23
171,leave,14714,2018-03-09
172,other,64722,2018-03-09
173,remain,26006,2018-03-09
174,leave,16085,2018-03-23
175,other,59451,2018-03-23
176,remain,28228,2018-03-23
177,leave,12018,2018-04-06
178,other,49272,2018-04-06
179,remain,22006,2018-04-06
180,leave,16540,2018-04-20
181,other,64105,2018-04-20
182,remain,29844,2018-04-20
183,leave,34885,2018-05-04
184,other,137859,2018-05-04
185,remain,67656,2018-05-04
186,leave,37851,2018-05-18
187,other,153083,2018-05-18
188,remain,77216,2018-05-18
189,leave,55040,2018-06-01
190,other,218608,2018-06-01
191,remain,101668,2018-06-01
192,leave,62329,2018-06-15
193,other,251519,2018-06-15
194,remain,125233,2018-06-15
195,leave,67679,2018-06-29
196,other,270218,2018-06-29
197,remain,128563,2018-06-29
198,leave,71424,2018-07-13
199,other,296162,2018-07-13
200,remain,144891,2018-07-13
201,leave,55733,2018-07-27
202,other,220642,2018-07-27
203,remain,119944,2018-07-27
204,leave,50729,2018-08-10
205,other,188199,2018-08-10
206,remain,110071,2018-08-10
207,leave,50669,2018-08-24
208,other,204268,2018-08-24
209,remain,103636,2018-08-24
210,leave,59736,2018-09-07
211,other,229451,2018-09-07
212,remain,116241,2018-09-07
213,leave,72286,2018-09-21
214,other,304945,2018-09-21
215,remain,155985,2018-09-21
216,leave,57249,2018-10-05
217,other,259299,2018-10-05
218,remain,106552,2018-10-05
219,leave,70805,2018-10-19
220,other,282143,2018-10-19
221,remain,144298,2018-10-19
222,leave,67422,2018-11-02
223,other,307660,2018-11-02
224,remain,144996,2018-11-02
225,leave,79937,2018-11-16
226,other,364655,2018-11-16
227,remain,145894,2018-11-16
228,leave,75639,2018-11-30
229,other,357467,2018-11-30
230,remain,164770,2018-11-30
231,leave,38114,2018-12-14
232,other,156496,2018-12-14
233,remain,83000,2018-12-14
234,leave,36961,2018-12-28
235,other,142095,2018-12-28
236,remain,72844,2018-12-28
237,leave,54521,2019-01-11
238,other,220551,2019-01-11
239,remain,100643,2019-01-11
240,leave,40602,2019-01-25
241,other,170152,2019-01-25
242,remain,80455,2019-01-25
243,leave,35222,2019-02-08
244,other,149015,2019-02-08
245,remain,73950,2019-02-08
246,leave,32719,2019-02-22
247,other,145638,2019-02-22
248,remain,65377,2019-02-22
249,leave,55373,2019-03-08
250,other,237622,2019-03-08
251,remain,106060,2019-03-08
252,leave,83549,2019-03-22
253,other,308717,2019-03-22
254,remain,150923,2019-03-22
255,leave,50204,2019-04-05
256,other,173431,2019-04-05
257,remain,84031,2019-04-05
258,leave,36454,2019-04-19
259,other,106979,2019-04-19
260,remain,61888,2019-04-19
261,leave,44683,2019-05-03
262,other,151485,2019-05-03
263,remain,97566,2019-05-03
264,leave,64915,2019-05-17
265,other,220709,2019-05-17
266,remain,150349,2019-05-17
267,leave,41597,2019-05-31
268,other,157805,2019-05-31
269,remain,96422,2019-05-31
270,leave,34082,2019-06-14
271,other,126720,2019-06-14
272,remain,83725,2019-06-14
273,leave,34824,2019-06-28
274,other,122820,2019-06-28
275,remain,82627,2019-06-28
276,leave,36324,2019-07-12
277,other,131570,2019-07-12
278,remain,95214,2019-07-12
279,leave,42653,2019-07-26
280,other,161438,2019-07-26
281,remain,110168,2019-07-26
282,leave,46694,2019-08-09
283,other,176347,2019-08-09
284,remain,113307,2019-08-09
285,leave,64158,2019-08-23
286,other,242576,2019-08-23
287,remain,168631,2019-08-23
288,leave,49366,2019-09-06
289,other,195320,2019-09-06
290,remain,133397,2019-09-06
291,leave,39260,2019-09-20
292,other,147426,2019-09-20
293,remain,96560,2019-09-20
