,t_stance,size,Date
0,leave,2500,2016-01-01
1,other,8180,2016-01-01
2,remain,2830,2016-01-01
3,leave,3338,2016-01-15
4,other,12677,2016-01-15
5,remain,3960,2016-01-15
6,leave,5767,2016-01-29
7,other,22250,2016-01-29
8,remain,8097,2016-01-29
9,leave,18886,2016-02-12
10,other,76643,2016-02-12
11,remain,38780,2016-02-12
12,leave,16827,2016-02-26
13,other,66576,2016-02-26
14,remain,25337,2016-02-26
15,leave,12160,2016-03-11
16,other,45351,2016-03-11
17,remain,16197,2016-03-11
18,leave,10104,2016-03-25
19,other,38387,2016-03-25
20,remain,13825,2016-03-25
21,leave,13507,2016-04-08
22,other,47899,2016-04-08
23,remain,20880,2016-04-08
24,leave,13027,2016-04-22
25,other,48269,2016-04-22
26,remain,15002,2016-04-22
27,leave,21121,2016-05-06
28,other,66259,2016-05-06
29,remain,27737,2016-05-06
30,leave,28538,2016-05-20
31,other,87372,2016-05-20
32,remain,36403,2016-05-20
33,leave,55700,2016-06-03
34,other,195697,2016-06-03
35,remain,82487,2016-06-03
36,leave,309511,2016-06-17
37,other,1226529,2016-06-17
38,remain,582613,2016-06-17
39,leave,72543,2016-07-01
40,other,443544,2016-07-01
41,remain,149365,2016-07-01
42,leave,29218,2016-07-15
43,other,200934,2016-07-15
44,remain,60130,2016-07-15
45,leave,17275,2016-07-29
46,other,104871,2016-07-29
47,remain,31445,2016-07-29
48,leave,15648,2016-08-12
49,other,93736,2016-08-12
50,remain,29734,2016-08-12
51,leave,20733,2016-08-26
52,other,121353,2016-08-26
53,remain,34176,2016-08-26
54,leave,18342,2016-09-09
55,other,102770,2016-09-09
56,remain,30532,2016-09-09
57,leave,22726,2016-09-23
58,other,136847,2016-09-23
59,remain,41606,2016-09-23
60,leave,31863,2016-10-07
61,other,176083,2016-10-07
62,remain,56872,2016-10-07
63,leave,27533,2016-10-21
64,other,158642,2016-10-21
65,remain,49302,2016-10-21
66,leave,38962,2016-11-04
67,other,209157,2016-11-04
68,remain,89014,2016-11-04
69,leave,19868,2016-11-18
70,other,118612,2016-11-18
71,remain,33991,2016-11-18
72,leave,19596,2016-12-02
73,other,118616,2016-12-02
74,remain,32915,2016-12-02
75,leave,11506,2016-12-16
76,other,66864,2016-12-16
77,remain,19444,2016-12-16
78,leave,13944,2016-12-30
79,other,81367,2016-12-30
80,remain,26075,2016-12-30
81,leave,23441,2017-01-13
82,other,162912,2017-01-13
83,remain,44502,2017-01-13
84,leave,17234,2017-01-27
85,other,115021,2017-01-27
86,remain,35532,2017-01-27
87,leave,14092,2017-02-10
88,other,88926,2017-02-10
89,remain,27025,2017-02-10
90,leave,14374,2017-02-24
91,other,88553,2017-02-24
92,remain,27716,2017-02-24
93,leave,18670,2017-03-10
94,other,120748,2017-03-10
95,remain,39000,2017-03-10
96,leave,33433,2017-03-24
97,other,173112,2017-03-24
98,remain,57332,2017-03-24
99,leave,16432,2017-04-07
100,other,82869,2017-04-07
101,remain,30563,2017-04-07
102,leave,18027,2017-04-21
103,other,119645,2017-04-21
104,remain,40653,2017-04-21
105,leave,17630,2017-05-05
106,other,95956,2017-05-05
107,remain,31600,2017-05-05
108,leave,16130,2017-05-19
109,other,88805,2017-05-19
110,remain,33975,2017-05-19
111,leave,25978,2017-06-02
112,other,133854,2017-06-02
113,remain,52927,2017-06-02
114,leave,24012,2017-06-16
115,other,128230,2017-06-16
116,remain,41831,2017-06-16
117,leave,18368,2017-06-30
118,other,90316,2017-06-30
119,remain,33432,2017-06-30
120,leave,18074,2017-07-14
121,other,101127,2017-07-14
122,remain,34098,2017-07-14
123,leave,16879,2017-07-28
124,other,87216,2017-07-28
125,remain,32866,2017-07-28
126,leave,14803,2017-08-11
127,other,72456,2017-08-11
128,remain,25842,2017-08-11
129,leave,13802,2017-08-25
130,other,82462,2017-08-25
131,remain,26860,2017-08-25
132,leave,16148,2017-09-08
133,other,84784,2017-09-08
134,remain,33457,2017-09-08
135,leave,17135,2017-09-22
136,other,92605,2017-09-22
137,remain,36442,2017-09-22
138,leave,20632,2017-10-06
139,other,118430,2017-10-06
140,remain,43923,2017-10-06
141,leave,15250,2017-10-20
142,other,84182,2017-10-20
143,remain,32491,2017-10-20
144,leave,16307,2017-11-03
145,other,86574,2017-11-03
146,remain,31735,2017-11-03
147,leave,19875,2017-11-17
148,other,112432,2017-11-17
149,remain,40860,2017-11-17
150,leave,22010,2017-12-01
151,other,140908,2017-12-01
152,remain,47757,2017-12-01
153,leave,14887,2017-12-15
154,other,73417,2017-12-15
155,remain,31657,2017-12-15
156,leave,13638,2017-12-29
157,other,59108,2017-12-29
158,remain,28459,2017-12-29
159,leave,12964,2018-01-12
160,other,60056,2018-01-12
161,remain,25495,2018-01-12
162,leave,16206,2018-01-26
163,other,83525,2018-01-26
164,remain,32981,2018-01-26
165,leave,17950,2018-02-09
166,other,77632,2018-02-09
167,remain,34949,2018-02-09
